,open,high,low,close,volume,marketCap,date
139,1.7469199896,1.7579300404,1.6381200552,1.6822400093,358119,55426596.7723,2017-10-04
140,1.6836400032,1.9312599897,1.6220400333,1.9312599897,429164,63631330.418,2017-10-05
141,1.9164600372,1.9361200333,1.6998200417,1.8059300184,517011,59501946.1604,2017-10-06
142,1.8002400398,1.8298000097,1.7109299898,1.7716100216,386192,58371167.6739,2017-10-07
143,1.766980052,1.7893999815,1.6633399725,1.6676599979,371480,54946213.604,2017-10-08
144,1.6679799557,1.7640099525,1.5566500425,1.7111799717,669321,56332711.7419,2017-10-09
145,1.704570055,1.8614200354,1.6693799496,1.7245600224,466173,56621426.1993,2017-10-10
146,1.7243800163,1.7481900454,1.681049943,1.7250000238,246870,56635872.4508,2017-10-11
147,1.7300200462,1.7530599833,1.5990999937,1.617849946,411624,53117881.8809,2017-10-12
148,1.6214699745,3.4452600479,1.5905300379,1.9867800474,5260750,65230735.4597,2017-10-13
149,1.9645400047,1.9645400047,1.6588699818,1.702039957,645581,55882040.7804,2017-10-14
150,1.7355300188,1.7421300411,1.4790500402,1.6372699738,372857,53755486.8914,2017-10-15
151,1.6124099493,1.8177599907,1.5371899605,1.8164299726,972053,59456026.3232,2017-10-16
152,1.8186199665,2.020359993,1.6436799765,1.7495900393,806478,57268195.9089,2017-10-17
153,1.7287000418,1.7287000418,1.5602799654,1.6550500393,600299,54173679.3414,2017-10-18
154,1.6705600023,1.9016799927,1.6475900412,1.7887599468,681141,58550322.1406,2017-10-19
155,1.8067400455,1.8116799593,1.6185200214,1.6409300566,639154,53711498.5298,2017-10-20
156,1.6401200294,1.6749500036,1.4348700047,1.4935899973,477910,48888713.7715,2017-10-21
157,1.4865700006,1.5370800495,1.4546500444,1.5146100521,360050,49576747.8126,2017-10-22
158,1.513800025,1.5992399454,1.4443900585,1.5309699774,473655,50038218.4243,2017-10-23
159,1.5406700373,1.7833299637,1.4883999825,1.636070013,490482,53473306.4772,2017-10-24
160,1.6368000507,1.6560800076,1.5455600023,1.6212400198,300779,52988602.8062,2017-10-25
161,1.621620059,1.6267800331,1.4870599508,1.5108599663,442666,49380943.2507,2017-10-26
162,1.5108699799,1.5441900492,1.4770699739,1.4868199825,314497,48595219.9701,2017-10-27
163,1.493620038,1.5231399536,1.4365999699,1.4426000118,376313,47151700.4749,2017-10-28
164,1.4402799606,1.5116200447,1.4402799606,1.452469945,355395,47474303.6107,2017-10-29
165,1.4494600296,1.478760004,1.421579957,1.478760004,270562,48333598.0828,2017-10-30
166,1.4754500389,1.4863899946,1.3789099455,1.3888200521,370278,45393889.2649,2017-10-31
167,1.3811199665,1.4047399759,1.2368299961,1.2388199568,506138,40491106.0462,2017-11-01
168,1.2346800566,1.2761399746,0.8736850023,1.1012200117,890030,35993619.5736,2017-11-02
169,1.1038899422,1.2919399738,1.0003999472,1.1683499813,674683,38187778.4901,2017-11-03
170,1.1671999693,1.4248600006,1.1571199894,1.2551399469,571028,41024528.8604,2017-11-04
171,1.2545800209,1.2866799831,1.1576299667,1.2015000582,402734,39271293.5814,2017-11-05
172,1.2021600008,1.2165900469,1.0520900488,1.1031899452,630406,36058009.4599,2017-11-06
173,1.093840003,1.1593999863,1.0802199841,1.1478899717,296883,37519038.8591,2017-11-07
174,1.1454199553,1.368729949,1.1341899633,1.3267099857,575560,43363810.1601,2017-11-08
175,1.31577003,1.7294399738,1.2959400415,1.5991699696,908574,52269225.5985,2017-11-09
176,1.6151100397,1.7033499479,1.2632000446,1.338809967,580034,43724416.7873,2017-11-10
177,1.3329299688,1.3777400255,1.1729700565,1.2046400309,484159,39342536.6099,2017-11-11
178,1.2040499449,1.2066299915,1.0774400234,1.142269969,430354,37305584.4845,2017-11-12
179,1.1498299837,1.3147200346,1.1286400557,1.2886199951,326498,42085253.2925,2017-11-13
180,1.2906899452,1.3808699846,1.211689949,1.3607699871,425966,44441612.0523,2017-11-14
181,1.345510006,1.3779599667,1.3032399416,1.3170499802,307997,43013753.3554,2017-11-15
182,1.3208999634,1.4456000328,1.2970499992,1.4075399637,521774,45923915.8358,2017-11-16
183,1.3965500593,1.5656199455,1.366140008,1.4663900137,833458,47757189.1689,2017-11-17
184,1.4592100382,1.5179699659,1.3830100298,1.4933899641,603517,48636521.4799,2017-11-18
185,1.4883300066,1.6533299685,1.4496999979,1.5600899458,764575,50724546.918,2017-11-19
186,1.5515099764,1.6673599482,1.5511399508,1.6372300386,456294,53232666.0325,2017-11-20
187,1.6363099813,1.7683999538,1.5220199823,1.7511399984,555686,56936319.7572,2017-11-21
188,1.7552900314,1.8380800486,1.7144700289,1.8197799921,587607,59168071.0667,2017-11-22
189,1.806910038,1.8489400148,1.7011100054,1.7590600252,530295,57193829.5237,2017-11-23
190,1.7549599409,1.9520000219,1.7009999752,1.9421600103,649323,63147117.1806,2017-11-24
191,1.9436899424,2.2835900784,1.9205800295,2.0321199894,1297350,66072063.9727,2017-11-25
192,2.0339999199,2.1106901169,1.9342600107,2.03083992,590313,66030446.2326,2017-11-26
